recipe_id,flavour_class,temperature,mode,sweetness,hardness,direction_status,delivered_pod,delivered_npac,zero_gram,total_g,runtime_ms
R11,coffee,-11,optimal,2,-1,NEAREST,22.64,40.42,0,1000,49
R11,coffee,-11,optimal,2,0,ACHIEVED,22.64,40.42,0,1000,2
R11,coffee,-11,optimal,2,1,ACHIEVED,22.63,37.69,0,1000,10
R11,coffee,-11,optimal,2,2,ACHIEVED,23.01,35.06,0,1000,14
R12,caramel,-11,optimal,-2,-2,NEAREST,15.21,40.14,0,1000,102
R12,caramel,-11,optimal,-2,-1,NEAREST,15.21,40.14,0,1000,56
R12,caramel,-11,optimal,-2,0,ACHIEVED,15.21,40.14,0,1000,20
R12,caramel,-11,optimal,-2,1,ACHIEVED,15.36,37.57,0,1000,14
R12,caramel,-11,optimal,-2,2,ACHIEVED,14.49,35.43,0,1000,2
R12,caramel,-11,optimal,-1,-2,NEAREST,17.68,41.93,0,1000,40
R12,caramel,-11,optimal,-1,-1,NEAREST,17.68,41.93,0,1000,76
R12,caramel,-11,optimal,-1,0,NEAREST,21.48,41.81,0,1000,14
R12,caramel,-11,optimal,-1,1,ACHIEVED,17.73,37.51,0,1000,12
R12,caramel,-11,optimal,-1,2,ACHIEVED,16.14,37.25,0,1000,3
R12,caramel,-11,optimal,0,-2,NEAREST,19.86,41.88,0,1000,30
R12,caramel,-11,optimal,0,-1,NEAREST,19.86,41.88,0,1000,39
R12,caramel,-11,optimal,0,0,ACHIEVED,20.09,40.40,0,1000,5
R12,caramel,-11,optimal,0,1,ACHIEVED,18.17,39.30,0,1000,1
R12,caramel,-11,optimal,0,2,ACHIEVED,18.02,36.68,0,1000,3
R12,caramel,-11,optimal,1,-2,NEAREST,20.27,41.86,0,1000,20
R12,caramel,-11,optimal,1,-1,NEAREST,20.27,41.86,0,1000,39
R12,caramel,-11,optimal,1,0,ACHIEVED,21.81,40.89,0,1000,2
R12,caramel,-11,optimal,1,1,NEAREST,22.64,39.12,0,1000,23
R12,caramel,-11,optimal,1,2,ACHIEVED,21.24,36.63,0,1000,17
R12,caramel,-11,optimal,2,-2,NEAREST,22.68,41.80,0,1000,97
R12,caramel,-11,optimal,2,-1,NEAREST,22.68,41.80,0,1000,41
R12,caramel,-11,optimal,2,0,ACHIEVED,22.68,41.80,0,1000,2
R12,caramel,-11,optimal,2,1,ACHIEVED,22.64,39.12,0,1000,9
R12,caramel,-11,optimal,2,2,ACHIEVED,24.15,36.54,0,1000,13
R13,salted caramel,-11,optimal,-2,-2,NEAREST,15.36,40.92,0,1000,35
R13,salted caramel,-11,optimal,-2,-1,NEAREST,15.36,40.92,0,1000,47
R13,salted caramel,-11,optimal,-2,0,ACHIEVED,15.32,40.07,0,1000,10
R13,salted caramel,-11,optimal,-2,1,ACHIEVED,15.40,37.61,0,1000,3
R13,salted caramel,-11,optimal,-2,2,ACHIEVED,15.27,36.65,0,1000,1
R13,salted caramel,-11,optimal,-1,-2,NEAREST,21.17,41.81,0,1000,31
R13,salted caramel,-11,optimal,-1,-1,NEAREST,17.80,40.85,0,1000,30
R13,salted caramel,-11,optimal,-1,0,ACHIEVED,17.72,40.01,0,1000,3
R13,salted caramel,-11,optimal,-1,1,ACHIEVED,17.73,37.70,0,1000,6
R13,salted caramel,-11,optimal,-1,2,ACHIEVED,17.32,35.86,0,1000,1
R13,salted caramel,-11,optimal,0,-2,NEAREST,18.95,41.92,0,1000,12
R13,salted caramel,-11,optimal,0,-1,NEAREST,18.95,41.92,0,1000,33
R13,salted caramel,-11,optimal,0,0,ACHIEVED,19.77,40.17,0,1000,1
R13,salted caramel,-11,optimal,0,1,ACHIEVED,18.17,38.09,0,1000,1
R13,salted caramel,-11,optimal,0,2,ACHIEVED,17.88,36.49,0,1000,8
R13,salted caramel,-11,optimal,1,-2,NEAREST,20.87,41.86,0,1000,30
R13,salted caramel,-11,optimal,1,-1,NEAREST,20.87,41.86,0,1000,37
R13,salted caramel,-11,optimal,1,0,ACHIEVED,20.87,41.86,0,1000,2
R13,salted caramel,-11,optimal,1,1,ACHIEVED,21.64,39.87,0,1000,2
