n,seed,recipe_id,temperature,mode,sweetness,hardness,outcome,defect_class
415,20319744,R04,-12,eco,1,-1,PREVIEW,ok
416,551968320,R16,-13,eco,2,2,PREVIEW,ok
417,397657088,R17,-13,eco,1,-1,PREVIEW,ok
418,1547878368,R22,-11,eco,-2,-2,PREVIEW,ok
419,339538176,R20,-12,optimal,-2,0,PREVIEW,ok
420,1317397632,R05,-11,optimal,-1,-1,PREVIEW,ok
421,1216488704,R23,-11,eco,2,-2,PREVIEW,ok
422,852326144,R07,-11,optimal,2,-2,PREVIEW,ok
423,977827328,R14,-13,optimal,1,-1,PREVIEW,ok
424,345234944,R08,-13,optimal,1,2,PREVIEW,ok
425,95206208,R01,-11,eco,-2,-1,PREVIEW,ok
426,2114804992,R06,-13,optimal,2,-1,PREVIEW,ok
427,888760320,R09,-13,eco,2,0,PREVIEW,ok
428,1524287104,R24,-12,optimal,2,-2,PREVIEW,ok
429,1675424768,R18,-12,optimal,0,2,PREVIEW,ok
430,101097472,R03,-13,optimal,2,1,PREVIEW,ok
431,2007801600,R17,-12,optimal,-1,0,PREVIEW,ok
432,612759040,R02,-12,optimal,0,2,PREVIEW,ok
433,165345536,R07,-13,eco,1,-2,PREVIEW,ok
434,218598912,R01,-13,eco,2,-1,PREVIEW,ok
435,769344768,R09,-13,eco,-1,1,PREVIEW,ok
436,750747712,R10,-11,eco,-1,-1,PREVIEW,ok
437,142004736,R17,-13,eco,-1,1,PREVIEW,ok
438,1041471744,R11,-13,optimal,-1,1,PREVIEW,ok
439,2090213376,R12,-12,optimal,-1,2,PREVIEW,ok
440,498142776,R02,-13,optimal,2,2,PREVIEW,ok
441,1734009920,R15,-11,optimal,2,2,PREVIEW,ok
442,1482555904,R24,-12,optimal,-2,1,PREVIEW,ok
443,593730048,R16,-12,optimal,0,0,PREVIEW,ok
444,194494464,R02,-11,eco,0,2,PREVIEW,ok
445,846584320,R09,-12,eco,0,-2,PREVIEW,ok
446,1279359232,R01,-12,optimal,-2,0,PREVIEW,ok
